State,Tourist Destination,Type,Popularity,Best Time to Visit,Associated Festival/Event,Entry Fee,Nearby Attractions,Notable Activities
Maharashtra,Fort 11,Religious,Medium,April to June,Durga Puja,No,Waterfalls,Wildlife Safari
Bihar,Park 487,Wildlife,Low,October to December,Diwali,Yes,National Parks,Shopping
Punjab,Park 324,Wildlife,Medium,July to September,Navratri,No,Temples,Wildlife Safari
Uttar Pradesh,Fort 483,Religious,Low,January to March,Durga Puja,Yes,Temples,Boating
Rajasthan,Palace 97,Adventure,Medium,October to December,Lohri,Yes,National Parks,Hiking
Madhya Pradesh,Hill Station 62,Adventure,High,April to June,Eid,No,Shopping Markets,Cultural Tours
Tamil Nadu,Temple 249,Hill Station,High,April to June,Navratri,No,Beaches,Hiking
Bihar,Beach 300,Adventure,Low,July to September,Christmas,Yes,Shopping Markets,Photography
Punjab,Park 247,Historical,Low,April to June,Navratri,No,Temples,Wildlife Safari
Maharashtra,Hill Station 422,Religious,Low,April to June,Holi,Yes,Waterfalls,Shopping
Karnataka,Museum 82,Cultural,Medium,January to March,Durga Puja,No,Temples,Cultural Tours
Punjab,Park 141,Beach,Medium,October to December,Holi,No,Shopping Markets,Shopping
Punjab,Park 24,Hill Station,Low,October to December,Durga Puja,Yes,National Parks,Photography
Punjab,Fort 389,Wildlife,Medium,April to June,Navratri,No,Temples,Boating
Madhya Pradesh,Park 397,Adventure,High,April to June,Pongal,Yes,Temples,Shopping
Karnataka,Fort 156,Cultural,Low,April to June,Diwali,Yes,National Parks,Wildlife Safari
Gujarat,Beach 303,Cultural,Medium,October to December,Holi,Yes,Temples,Wildlife Safari
Bihar,Temple 356,Natural,High,October to December,Diwali,No,National Parks,Cultural Tours
Punjab,Palace 81,Cultural,Low,October to December,Eid,No,Beaches,Wildlife Safari
Assam,Palace 159,Adventure,Medium,January to March,Pongal,No,National Parks,Shopping
Assam,Palace 375,Wildlife,High,July to September,Baisakhi,Yes,Temples,Photography
Assam,Temple 105,Historical,High,October to December,Holi,No,National Parks,Boating
Karnataka,Museum 266,Religious,Low,April to June,Holi,Yes,Temples,Cultural Tours
Uttar Pradesh,Park 294,Beach,High,July to September,Bihu,No,Beaches,Boating
Uttar Pradesh,Museum 147,Adventure,Medium,October to December,Diwali,Yes,Beaches,Cultural Tours
Maharashtra,Temple 260,Religious,Low,October to December,Eid,Yes,Temples,Wildlife Safari
Gujarat,Fort 482,Wildlife,Low,October to December,Holi,No,Temples,Hiking
Rajasthan,Museum 174,Religious,Medium,January to March,Bihu,Yes,Waterfalls,Photography
Karnataka,Fort 165,Adventure,Medium,April to June,Pongal,No,National Parks,Boating
Madhya Pradesh,Beach 338,Cultural,High,October to December,Pongal,Yes,Waterfalls,Photography
Karnataka,Fort 388,Adventure,High,April to June,Christmas,Yes,National Parks,Cultural Tours
Rajasthan,Palace 130,Cultural,Medium,October to December,Christmas,Yes,Shopping Markets,Cultural Tours
Gujarat,Hill Station 381,Natural,Medium,January to March,Navratri,Yes,Beaches,Wildlife Safari
Uttar Pradesh,Hill Station 13,Beach,Medium,January to March,Lohri,Yes,Shopping Markets,Cultural Tours
Karnataka,Temple 174,Beach,Low,July to September,Eid,Yes,Beaches,Photography
Punjab,Museum 239,Natural,Low,July to September,Baisakhi,No,National Parks,Hiking
Rajasthan,Beach 467,Natural,High,July to September,Eid,Yes,Beaches,Hiking
Punjab,Museum 75,Adventure,Low,October to December,Durga Puja,Yes,National Parks,Shopping
Uttar Pradesh,Temple 245,Cultural,Medium,January to March,Navratri,Yes,Shopping Markets,Boating
Bihar,Fort 228,Hill Station,High,July to September,Durga Puja,Yes,Shopping Markets,Cultural Tours
Maharashtra,Temple 278,Religious,Medium,October to December,Navratri,No,Waterfalls,Boating
Assam,Palace 151,Adventure,High,July to September,Holi,Yes,Shopping Markets,Wildlife Safari
Assam,Fort 164,Adventure,Low,October to December,Diwali,No,Waterfalls,Wildlife Safari
Madhya Pradesh,Hill Station 108,Natural,Medium,October to December,Christmas,No,Beaches,Photography
Bihar,Hill Station 274,Natural,Medium,April to June,Baisakhi,Yes,Beaches,Cultural Tours
Uttar Pradesh,Park 43,Religious,Medium,January to March,Lohri,Yes,Shopping Markets,Photography
Maharashtra,Beach 408,Cultural,High,January to March,Holi,Yes,Shopping Markets,Wildlife Safari
Gujarat,Beach 128,Natural,Medium,April to June,Holi,Yes,Beaches,Boating
Rajasthan,Beach 65,Hill Station,Low,October to December,Bihu,No,National Parks,Hiking
Tamil Nadu,Hill Station 56,Wildlife,Low,October to December,Bihu,Yes,Shopping Markets,Shopping
Uttar Pradesh,Temple 315,Religious,Low,January to March,Eid,No,Beaches,Cultural Tours
Rajasthan,Museum 330,Wildlife,Low,April to June,Pongal,No,Shopping Markets,Photography
Bihar,Park 201,Cultural,Low,January to March,Pongal,Yes,Beaches,Wildlife Safari
Assam,Park 303,Adventure,Medium,April to June,Bihu,Yes,Temples,Wildlife Safari
Karnataka,Beach 446,Wildlife,Medium,July to September,Christmas,Yes,National Parks,Wildlife Safari
Madhya Pradesh,Hill Station 358,Adventure,Low,January to March,Holi,No,Waterfalls,Boating
Tamil Nadu,Fort 249,Cultural,High,October to December,Durga Puja,No,Temples,Boating
Bihar,Temple 215,Adventure,Low,April to June,Pongal,No,Beaches,Boating
Uttar Pradesh,Fort 313,Natural,Low,July to September,Baisakhi,Yes,Beaches,Wildlife Safari
Punjab,Temple 209,Natural,Medium,July to September,Lohri,Yes,Shopping Markets,Shopping
Gujarat,Fort 374,Hill Station,Low,July to September,Durga Puja,No,Temples,Wildlife Safari
Punjab,Palace 118,Beach,Medium,January to March,Baisakhi,No,Beaches,Hiking
Karnataka,Museum 264,Hill Station,Medium,January to March,Durga Puja,No,National Parks,Hiking
Tamil Nadu,Museum 328,Natural,Low,April to June,Baisakhi,No,National Parks,Hiking
Tamil Nadu,Park 133,Historical,Medium,January to March,Lohri,No,Shopping Markets,Boating
Rajasthan,Park 304,Adventure,Medium,October to December,Christmas,No,Temples,Hiking
Uttar Pradesh,Hill Station 202,Hill Station,High,October to December,Holi,Yes,Temples,Photography
Maharashtra,Museum 500,Hill Station,High,October to December,Christmas,No,Temples,Shopping
Karnataka,Beach 254,Wildlife,Low,July to September,Diwali,No,Waterfalls,Cultural Tours
Madhya Pradesh,Palace 446,Religious,Low,July to September,Christmas,No,Beaches,Wildlife Safari
Bihar,Museum 180,Beach,High,July to September,Bihu,Yes,Waterfalls,Cultural Tours
Maharashtra,Beach 141,Natural,High,October to December,Diwali,Yes,Waterfalls,Shopping
Assam,Beach 305,Adventure,Low,October to December,Navratri,No,Beaches,Boating
Madhya Pradesh,Hill Station 405,Historical,Low,January to March,Durga Puja,No,Temples,Photography
Punjab,Temple 446,Beach,Low,July to September,Holi,No,Shopping Markets,Wildlife Safari
Rajasthan,Hill Station 333,Cultural,Low,July to September,Christmas,No,Temples,Cultural Tours
Maharashtra,Temple 264,Religious,Low,April to June,Bihu,No,National Parks,Boating
Karnataka,Fort 201,Beach,Medium,October to December,Christmas,No,Waterfalls,Hiking
Madhya Pradesh,Museum 403,Hill Station,Low,October to December,Lohri,No,Temples,Shopping
Rajasthan,Museum 8,Natural,Low,October to December,Navratri,No,Beaches,Cultural Tours
Rajasthan,Hill Station 52,Religious,High,April to June,Diwali,No,Shopping Markets,Photography
Gujarat,Temple 243,Hill Station,Medium,April to June,Navratri,No,National Parks,Photography
Karnataka,Beach 210,Historical,Medium,April to June,Baisakhi,No,Shopping Markets,Hiking
Bihar,Temple 500,Historical,High,July to September,Baisakhi,No,Shopping Markets,Cultural Tours
Rajasthan,Park 449,Cultural,High,July to September,Bihu,No,Shopping Markets,Photography
Uttar Pradesh,Museum 153,Hill Station,Medium,April to June,Eid,No,Beaches,Photography
Maharashtra,Palace 209,Cultural,Low,April to June,Christmas,Yes,Beaches,Shopping
Gujarat,Fort 390,Hill Station,High,January to March,Navratri,Yes,Temples,Shopping
Tamil Nadu,Museum 285,Beach,High,April to June,Diwali,Yes,Beaches,Boating
Rajasthan,Beach 498,Hill Station,Medium,July to September,Christmas,Yes,Beaches,Cultural Tours
Maharashtra,Hill Station 30,Cultural,High,April to June,Holi,Yes,Waterfalls,Cultural Tours
Punjab,Beach 272,Natural,Medium,April to June,Diwali,No,Waterfalls,Hiking
Punjab,Hill Station 126,Natural,Medium,April to June,Durga Puja,Yes,National Parks,Wildlife Safari
Madhya Pradesh,Fort 136,Natural,Low,October to December,Lohri,No,Shopping Markets,Photography
Punjab,Museum 97,Wildlife,High,April to June,Durga Puja,Yes,National Parks,Wildlife Safari
Tamil Nadu,Museum 309,Historical,Medium,April to June,Christmas,Yes,Temples,Boating
Uttar Pradesh,Museum 118,Religious,Medium,April to June,Diwali,Yes,Beaches,Hiking
Madhya Pradesh,Park 221,Adventure,Low,July to September,Holi,No,Waterfalls,Photography
Bihar,Hill Station 396,Adventure,Low,October to December,Diwali,No,Waterfalls,Cultural Tours
Uttar Pradesh,Hill Station 110,Historical,Medium,April to June,Christmas,No,Waterfalls,Cultural Tours
Tamil Nadu,Fort 173,Natural,Low,April to June,Eid,Yes,Shopping Markets,Shopping
Karnataka,Palace 281,Historical,Low,April to June,Durga Puja,Yes,Shopping Markets,Hiking
Uttar Pradesh,Park 435,Natural,Low,April to June,Lohri,Yes,Temples,Hiking
Assam,Temple 329,Historical,Medium,October to December,Christmas,No,Waterfalls,Wildlife Safari
Madhya Pradesh,Temple 356,Beach,High,July to September,Lohri,Yes,Waterfalls,Cultural Tours
Gujarat,Beach 126,Wildlife,Medium,July to September,Pongal,Yes,Temples,Cultural Tours
Uttar Pradesh,Palace 61,Adventure,High,July to September,Christmas,Yes,Waterfalls,Cultural Tours
Uttar Pradesh,Palace 195,Hill Station,High,October to December,Christmas,No,Beaches,Photography
Assam,Beach 320,Cultural,Medium,October to December,Pongal,No,Waterfalls,Photography
Bihar,Hill Station 379,Wildlife,Medium,October to December,Navratri,Yes,Shopping Markets,Hiking
Maharashtra,Fort 118,Historical,High,January to March,Bihu,Yes,Waterfalls,Wildlife Safari
Rajasthan,Palace 72,Religious,Medium,July to September,Lohri,Yes,Shopping Markets,Cultural Tours
Assam,Park 485,Cultural,High,July to September,Pongal,No,Waterfalls,Shopping
Uttar Pradesh,Fort 145,Cultural,High,April to June,Holi,No,Waterfalls,Hiking
Rajasthan,Beach 184,Natural,Medium,July to September,Bihu,Yes,Waterfalls,Cultural Tours
Madhya Pradesh,Museum 28,Cultural,Low,October to December,Baisakhi,No,Waterfalls,Wildlife Safari
Bihar,Hill Station 363,Hill Station,High,April to June,Eid,No,Waterfalls,Hiking
Bihar,Beach 473,Hill Station,Low,April to June,Lohri,No,Waterfalls,Shopping
Bihar,Beach 459,Cultural,Low,April to June,Diwali,Yes,Shopping Markets,Boating
Punjab,Museum 207,Hill Station,High,October to December,Pongal,No,Waterfalls,Wildlife Safari
Uttar Pradesh,Temple 471,Historical,Low,April to June,Eid,No,Waterfalls,Photography
Bihar,Hill Station 454,Historical,High,July to September,Pongal,Yes,Waterfalls,Photography
Karnataka,Beach 127,Historical,Medium,October to December,Lohri,No,Beaches,Cultural Tours
Tamil Nadu,Park 173,Historical,High,April to June,Pongal,Yes,Waterfalls,Shopping
Karnataka,Beach 162,Historical,High,January to March,Bihu,No,Temples,Hiking
Tamil Nadu,Fort 274,Beach,High,April to June,Baisakhi,No,Temples,Boating
Madhya Pradesh,Temple 428,Historical,Low,October to December,Durga Puja,Yes,National Parks,Wildlife Safari
Punjab,Hill Station 199,Hill Station,Low,January to March,Eid,Yes,Beaches,Boating
Madhya Pradesh,Museum 107,Cultural,High,October to December,Eid,Yes,Waterfalls,Photography
Punjab,Temple 143,Adventure,Low,July to September,Pongal,No,Waterfalls,Hiking
Tamil Nadu,Fort 94,Religious,Low,January to March,Eid,No,Shopping Markets,Photography
Gujarat,Fort 387,Adventure,High,January to March,Durga Puja,No,Waterfalls,Wildlife Safari
Tamil Nadu,Hill Station 382,Natural,High,April to June,Baisakhi,No,Waterfalls,Wildlife Safari
Bihar,Palace 493,Wildlife,High,October to December,Durga Puja,Yes,Shopping Markets,Wildlife Safari
Madhya Pradesh,Palace 428,Wildlife,Medium,January to March,Navratri,Yes,Shopping Markets,Shopping
Uttar Pradesh,Palace 155,Religious,Medium,April to June,Christmas,No,Waterfalls,Photography
Madhya Pradesh,Park 137,Wildlife,Low,January to March,Durga Puja,Yes,Waterfalls,Boating
Rajasthan,Park 184,Adventure,Medium,April to June,Eid,Yes,National Parks,Boating
Punjab,Temple 404,Beach,Low,July to September,Christmas,Yes,Temples,Hiking
Karnataka,Beach 317,Cultural,Medium,April to June,Durga Puja,Yes,Shopping Markets,Hiking
Madhya Pradesh,Fort 105,Hill Station,High,April to June,Baisakhi,Yes,Shopping Markets,Wildlife Safari
Karnataka,Temple 103,Adventure,Low,April to June,Eid,No,Waterfalls,Wildlife Safari
Assam,Temple 2,Natural,High,April to June,Holi,Yes,Waterfalls,Boating
Karnataka,Park 373,Religious,High,April to June,Baisakhi,Yes,National Parks,Cultural Tours
Bihar,Fort 204,Historical,High,January to March,Pongal,Yes,Waterfalls,Wildlife Safari
Punjab,Hill Station 374,Cultural,Low,January to March,Lohri,Yes,Temples,Wildlife Safari
Rajasthan,Beach 135,Cultural,Low,July to September,Pongal,No,Waterfalls,Cultural Tours
Bihar,Palace 188,Adventure,High,October to December,Lohri,No,Waterfalls,Shopping
Madhya Pradesh,Park 203,Cultural,High,April to June,Bihu,Yes,Shopping Markets,Hiking
Gujarat,Museum 222,Cultural,Low,July to September,Bihu,Yes,Temples,Wildlife Safari
Madhya Pradesh,Beach 257,Cultural,Medium,July to September,Diwali,Yes,National Parks,Cultural Tours
Madhya Pradesh,Temple 206,Natural,Low,April to June,Christmas,No,Waterfalls,Photography
Karnataka,Museum 228,Beach,High,April to June,Diwali,No,Beaches,Wildlife Safari
Maharashtra,Temple 414,Adventure,High,October to December,Diwali,Yes,National Parks,Shopping
Punjab,Palace 419,Historical,High,January to March,Durga Puja,No,Temples,Cultural Tours
Assam,Park 139,Adventure,High,April to June,Durga Puja,Yes,Waterfalls,Cultural Tours
Madhya Pradesh,Park 83,Cultural,High,April to June,Pongal,Yes,Shopping Markets,Hiking
Madhya Pradesh,Museum 6,Religious,High,April to June,Bihu,No,National Parks,Cultural Tours
Bihar,Park 211,Natural,Medium,July to September,Pongal,Yes,National Parks,Boating
Punjab,Fort 369,Beach,High,July to September,Holi,Yes,Beaches,Shopping
Assam,Hill Station 416,Hill Station,Low,January to March,Holi,No,Waterfalls,Cultural Tours
Uttar Pradesh,Hill Station 264,Religious,Medium,January to March,Bihu,No,Waterfalls,Wildlife Safari
Maharashtra,Hill Station 225,Hill Station,Low,January to March,Pongal,No,National Parks,Hiking
Maharashtra,Palace 162,Religious,Medium,October to December,Christmas,Yes,Waterfalls,Cultural Tours
Rajasthan,Park 2,Adventure,High,October to December,Diwali,Yes,Waterfalls,Photography
Karnataka,Palace 40,Cultural,High,July to September,Baisakhi,Yes,Waterfalls,Hiking
Maharashtra,Hill Station 2,Adventure,High,October to December,Baisakhi,Yes,Waterfalls,Wildlife Safari
Gujarat,Beach 326,Adventure,Medium,April to June,Eid,Yes,Temples,Photography
Bihar,Beach 218,Cultural,Medium,July to September,Lohri,No,Temples,Boating
Tamil Nadu,Fort 433,Religious,High,July to September,Eid,Yes,Shopping Markets,Hiking
Tamil Nadu,Park 45,Historical,Low,April to June,Durga Puja,No,National Parks,Photography
Maharashtra,Hill Station 379,Wildlife,High,July to September,Navratri,Yes,National Parks,Shopping
Tamil Nadu,Hill Station 499,Religious,Low,January to March,Bihu,No,Beaches,Hiking
Rajasthan,Beach 121,Cultural,High,January to March,Navratri,No,Waterfalls,Photography
Maharashtra,Beach 235,Natural,Medium,January to March,Bihu,No,Beaches,Photography
Karnataka,Palace 151,Natural,Medium,October to December,Bihu,Yes,Beaches,Wildlife Safari
Maharashtra,Temple 113,Beach,Medium,October to December,Eid,Yes,Waterfalls,Photography
Punjab,Park 274,Wildlife,Medium,October to December,Bihu,No,Beaches,Boating
Uttar Pradesh,Museum 43,Hill Station,Low,January to March,Diwali,No,Shopping Markets,Shopping
Karnataka,Fort 193,Hill Station,High,January to March,Christmas,Yes,Beaches,Boating
Maharashtra,Fort 249,Hill Station,Low,April to June,Holi,Yes,Temples,Cultural Tours
Rajasthan,Fort 78,Natural,High,April to June,Baisakhi,Yes,Beaches,Boating
Tamil Nadu,Palace 286,Natural,Medium,October to December,Holi,No,National Parks,Photography
Karnataka,Park 433,Cultural,Medium,October to December,Lohri,Yes,Beaches,Wildlife Safari
Uttar Pradesh,Museum 343,Beach,High,October to December,Diwali,Yes,Shopping Markets,Boating
Maharashtra,Fort 64,Religious,Low,April to June,Bihu,No,Waterfalls,Cultural Tours
Bihar,Beach 481,Beach,High,January to March,Durga Puja,Yes,National Parks,Shopping
Bihar,Temple 304,Wildlife,High,July to September,Durga Puja,Yes,National Parks,Shopping
Karnataka,Hill Station 163,Natural,Medium,January to March,Lohri,Yes,Shopping Markets,Shopping
Punjab,Park 194,Historical,Low,October to December,Diwali,Yes,Shopping Markets,Wildlife Safari
Maharashtra,Temple 271,Adventure,Medium,July to September,Bihu,Yes,National Parks,Boating
Tamil Nadu,Hill Station 173,Beach,Medium,October to December,Lohri,Yes,Shopping Markets,Wildlife Safari
Bihar,Temple 303,Cultural,Medium,April to June,Christmas,No,Temples,Boating
Rajasthan,Fort 435,Cultural,Low,January to March,Pongal,Yes,Waterfalls,Hiking
Karnataka,Museum 482,Historical,High,January to March,Navratri,Yes,National Parks,Photography
Maharashtra,Park 165,Beach,High,April to June,Bihu,Yes,Temples,Cultural Tours
Uttar Pradesh,Hill Station 115,Wildlife,High,April to June,Diwali,No,Waterfalls,Hiking
Assam,Temple 101,Cultural,High,July to September,Navratri,Yes,Shopping Markets,Boating
Punjab,Hill Station 433,Beach,Medium,April to June,Navratri,No,Beaches,Boating
Tamil Nadu,Temple 68,Religious,Low,July to September,Eid,No,Beaches,Wildlife Safari
Karnataka,Fort 188,Adventure,Low,January to March,Eid,No,Shopping Markets,Boating
Gujarat,Park 409,Wildlife,High,January to March,Bihu,Yes,Temples,Boating
Karnataka,Fort 180,Hill Station,Low,April to June,Durga Puja,Yes,Beaches,Hiking
Assam,Temple 270,Natural,Low,July to September,Holi,No,Beaches,Shopping
Punjab,Temple 151,Wildlife,Medium,April to June,Holi,Yes,Shopping Markets,Shopping
Uttar Pradesh,Hill Station 393,Hill Station,High,April to June,Navratri,No,National Parks,Cultural Tours
Gujarat,Park 448,Cultural,Medium,October to December,Pongal,No,Shopping Markets,Wildlife Safari
Madhya Pradesh,Fort 401,Wildlife,Medium,April to June,Bihu,Yes,Shopping Markets,Cultural Tours
Karnataka,Beach 198,Hill Station,Medium,October to December,Pongal,Yes,Waterfalls,Photography
Maharashtra,Fort 13,Beach,Medium,April to June,Bihu,No,National Parks,Cultural Tours
Punjab,Museum 126,Wildlife,Low,October to December,Christmas,No,Temples,Shopping
Karnataka,Museum 312,Natural,Medium,April to June,Lohri,Yes,National Parks,Boating
Uttar Pradesh,Museum 416,Cultural,High,April to June,Bihu,Yes,Waterfalls,Boating
Tamil Nadu,Museum 172,Historical,High,January to March,Pongal,Yes,Waterfalls,Cultural Tours
Uttar Pradesh,Fort 485,Natural,Medium,January to March,Christmas,No,National Parks,Wildlife Safari
Madhya Pradesh,Temple 235,Cultural,Low,April to June,Pongal,No,Temples,Photography
Uttar Pradesh,Palace 300,Historical,High,July to September,Christmas,Yes,Temples,Wildlife Safari
Maharashtra,Temple 395,Cultural,Low,January to March,Bihu,Yes,Shopping Markets,Cultural Tours
Uttar Pradesh,Fort 58,Historical,Low,July to September,Pongal,Yes,Waterfalls,Boating
Maharashtra,Fort 497,Beach,Medium,January to March,Bihu,Yes,Waterfalls,Wildlife Safari
Uttar Pradesh,Museum 368,Beach,Low,October to December,Holi,Yes,Shopping Markets,Cultural Tours
Bihar,Palace 377,Religious,Low,October to December,Pongal,Yes,Waterfalls,Wildlife Safari
Uttar Pradesh,Park 388,Natural,Medium,July to September,Lohri,Yes,Waterfalls,Hiking
Assam,Beach 129,Adventure,High,October to December,Durga Puja,No,Beaches,Photography
Tamil Nadu,Park 315,Religious,High,April to June,Holi,No,National Parks,Hiking
Punjab,Palace 377,Hill Station,Medium,April to June,Durga Puja,Yes,Beaches,Cultural Tours
Uttar Pradesh,Beach 440,Adventure,Medium,April to June,Durga Puja,No,Beaches,Hiking
Maharashtra,Park 80,Cultural,High,July to September,Eid,Yes,Shopping Markets,Wildlife Safari
Punjab,Beach 312,Beach,Medium,April to June,Navratri,No,Waterfalls,Photography
Uttar Pradesh,Fort 354,Hill Station,Medium,January to March,Holi,No,National Parks,Wildlife Safari
Madhya Pradesh,Museum 492,Beach,Medium,October to December,Baisakhi,No,National Parks,Boating
Assam,Fort 431,Natural,Medium,July to September,Baisakhi,Yes,National Parks,Hiking
Tamil Nadu,Palace 104,Wildlife,Low,July to September,Christmas,Yes,Temples,Photography
Punjab,Temple 72,Adventure,High,January to March,Holi,No,Temples,Shopping
Punjab,Park 395,Cultural,High,July to September,Holi,No,Temples,Wildlife Safari
Assam,Fort 1,Cultural,Low,July to September,Lohri,Yes,Shopping Markets,Boating
Tamil Nadu,Fort 440,Cultural,Medium,July to September,Navratri,No,National Parks,Hiking
Maharashtra,Hill Station 497,Hill Station,High,January to March,Diwali,Yes,Waterfalls,Wildlife Safari
Maharashtra,Palace 42,Adventure,Low,April to June,Durga Puja,No,Temples,Boating
Gujarat,Hill Station 161,Hill Station,Low,January to March,Lohri,Yes,National Parks,Hiking
Karnataka,Fort 162,Adventure,High,January to March,Christmas,No,Waterfalls,Wildlife Safari
Uttar Pradesh,Museum 296,Wildlife,Low,October to December,Pongal,Yes,Temples,Photography
Tamil Nadu,Hill Station 236,Wildlife,High,July to September,Holi,No,National Parks,Hiking
Rajasthan,Park 352,Natural,High,April to June,Lohri,No,Temples,Boating
Rajasthan,Palace 418,Hill Station,Medium,July to September,Pongal,Yes,Waterfalls,Hiking
Rajasthan,Palace 310,Natural,High,July to September,Bihu,Yes,Shopping Markets,Shopping
Rajasthan,Park 52,Historical,Medium,April to June,Diwali,No,Waterfalls,Cultural Tours
Bihar,Temple 327,Adventure,High,July to September,Baisakhi,Yes,Temples,Photography
Uttar Pradesh,Palace 204,Hill Station,High,April to June,Lohri,Yes,Shopping Markets,Hiking
Assam,Beach 67,Cultural,Low,October to December,Bihu,No,National Parks,Photography
Bihar,Beach 285,Historical,Medium,October to December,Holi,No,Waterfalls,Cultural Tours
Gujarat,Fort 278,Historical,Medium,January to March,Diwali,No,Shopping Markets,Wildlife Safari
Tamil Nadu,Beach 81,Cultural,Low,April to June,Diwali,Yes,Beaches,Photography
